All,Све
"Add to Shopping Cart by SKU","Додај у корпу за куповину према шифри"
"Add to Shopping Cart","Додај у корпу"
"Wish List (%1)","Листа жеља (%1)"
Apply,Примени
Configure,Подеси
"Add to Order by SKU","Додај у наруџбу по шифри"
"Add to Order","Додај у наруџбу"
"Add Products to Order","Додавање производа у наруџбу"
"<span><span id=""sku-attention-num"">%1</span> product(s) require attention.</span>","<спан><спан ид=""ску-аттентион-нум"">%1</спан> производ(и) захтевају вашу пазњу.</спан>"
"Remove All","Уклони све"
"Only %1%2%3 left in stock","Само %1%2%3 је остало на лагеру"
"You can buy up to %1 of these per purchase.","Можете купити до %1 од ових по наруџби."
"You must buy at least %1 of these per purchase.","Можете купити најмање %1 од ових по наруџби."
"Specify the product's options.","Наведите опције производа."
"Alert me when this item is available.","Упозори ме када ова ставка постане доступна."
"We can't find this customer.","Не можемо пронаћи овог корисника."
"Shopping cart management is disabled for this customer.","Управљање колицима за куповину је онемогућена за овог купца."
"We can't find this store.","Не можемо пронаћи ову продавницу."
Customers,Купци
"Shopping Cart",Корпа
"Sorry, something went wrong. You can find out more in the error log.","Извини, нешто кренуло наопако. Више о грешци можете пронаћи у евиденцији грешака."
"You do not have access to this.","Немате приступ."
"Ordered item id is not received.","Ид порученог артикла није примљен."
"Ordered item is not loaded.","Ид порученог артикла није учитан."
"Quote item id is not received.","Количина за Ид артикла није примљена."
"Quote item is not loaded.","Количина за Ид артикла није учитана."
"The wish list item id is not received.","Ид артикла из листе жеља није примљен."
"The wish list item is not loaded.","Ид артикла из листе жеља није учитан."
"An error has occurred. See error log for details.","Дошло је до грешке. Погледајте евиденцију грешака за више детаља."
"You cannot configure a product.","Није могуће конфигурисати производ."
"You removed the items.","Ви сте уклонили ставке."
"You removed the item.","Ви сте уклонили ставку."
"You added %1 to your shopping cart.","Успешно сте додали %1 у вашу корпу."
"You cannot add a product.","Није могуће додати производ."
"Order by SKU","Наруџба по шифри"
"The SKU was not found in the catalog.","Шифра није пронађена у каталогу."
"Availability: Out of stock.","Доступност: тренутно нема на стању."
"We don't have as many of these as you want.","Немамо толико овога колико захтевате."
"You can't add this many to your cart.","Не можете додати оволико пуно у вашу корпу."
"You need to choose options for your item.","Потребно је да одаберете опције за ваш ставку."
"We can't add the item to your cart.","Не можемо додати артикал у корпу."
"Please enter an actual number in the ""Qty"" field.","Унесите један број у пољу „Кол”."
"This product is assigned to another website.","Овај производ је додељен другој Wеб локацији."
"You can add only enabled products.","Можете додати само расположиве производе."
"You cannot upload this file.","Не можете да пошаљете ову датотеку."
"The file is empty.","Датотека је празна."
"You have not entered a product SKU. Please <a href=""%1"">click here</a> to add product(s) by SKU.","Нисте унели шифру производа. Молим <а хреф=""%1"">кликните овде</а> да бисте додали производ(е) шифри."
"You have not entered a product SKU.","Нисте унели шифру производа."
"We can't add a product to cart by id ""%1"".","Не можемо да додамо производ у корпу по Ид „%1”."
"Something went wrong while reordering this product.","Дошло је до грешке код пресортирања овог производа."
"We can't find this wish list.","Не можемо да ажурирамо листу жеља."
"You added %1 product to your shopping cart.","Додали сте %1 производ у вашу корпу за куповину."
"You added %1 products to your shopping cart.","Додали сте %1 производе у вашу корпу за куповину."
"%1 product requires your attention.","%1 производ захтева вашу пазњу."
"%1 products require your attention.","%1 производи захтевају вашу пазњу."
"Yes, for Specified Customer Groups","Да, за наведену групу купаца"
"Yes, for Everyone","Да, за све"
No,Не
"The file is corrupt.","Датотека је оштећена."
"Please upload the file in .csv format.","Молимо вас да пошаљете датотеку у .цсв формату."
"%1 item(s) need your attention.","%1 ставка(е) траже да обратите пажњу."
"Apply Coupon Code","Примени код купона"
"Remove Coupon Code","Уклоните код купона"
"The coupon code ""%1"" is not valid.","Купон код „%1” није важећи."
"Shopping Cart Items","Артикли у колицима за куповину"
Qty,Кол
Subtotal,Међузбир
Discount,Попуст
"Row Subtotal","Ред међузбира"
Action,Акција
"No ordered items","Нема порућених артикала"
"Total %1 product(s)","Укупно %1 производ(а)"
Subtotal:,Међузбир:
"Please select",Изаберите
"Move to Wish List","Пребаци у листу жеља"
"No item specified.","Нема означених ставки."
"Are you sure you want to remove this item?","Јесте ли сигурни да желите да уклоните овај артикал?"
"SKU number",Шифра
"Upload File","Пошаљи датотеку"
"Your csv file must include ""sku"" and ""qty"" columns.","Ваша цсв датотека мора да садржи колоне ""ску"" и ""qтy""."
Reset,Ресетовати
"SKU: ",СКУ:
"Only <span id=""%1_max_allowed"">%2</span> in stock","Само <спан ид=""%1_маx_аллоwед"">,%2</спан> на лагеру"
Item,Артикал
"See price before order confirmation.","Провери цену пре потврде наруђбине."
"What's this?","Што је ово?"
"Incl. Tax","Износ са ПДВ"
"Excl. Tax","Без пореза"
"Edit item parameters","Уређивање параметара артикала"
Edit,Измени
"Remove item","Уклони ставку"
"Products Requiring Attention","Производи који захтевају пазњу"
"Add to Cart","Додај у корпу"
Sku,Шифра
File,Датотека
"File extensions allowed: .csv","Дозвољена екстензија датотеке је: .цсв"
"Add Row","Додај ред"
"Remove Row","Уклани ред"
"Add Products By SKU","Додај производе по шифри"
"Shopping Cart Management","Куповина колица за управљање"
"View Shopping Cart","Отвори Корпу"
"View and modify Shopping Cart","Отвори и измени корпу"
"Order by SKU Settings","Подешавање наруџбе по шифри"
"Enable Order by SKU on My Account in Storefront","Омогући поруџбину по шифри за мој налог у излогу"
"Customer Groups","Групе купаца"
"Apply Coupon","Примени Купон"
"Order by SKU Description","Поруџбина по опису шифре"
"Display a Link to Loading a Spreadsheet","Приказивање везе за учитавање xлс табеле"
"Defines whether a link to My Account &gt; Order by SKU page will be displayed on the widget","Дефинише да ли ће веза за Мој налог &гт; Поруџбина по шифри ће бити приказани на на виџету"
"Link Text","Линк текст"
"The text of the link to the My Account &gt; Order by SKU page","Линк за мој налог &гт; Поруџбина по шифри"
"Load a list of SKUs","Учитавање листе шифри"
"Order by SKU Template","Шаблон поруџбина по шифри"
"SKU not found in catalog.","СКУ није пронађен у каталогу."
"This file needs to be in .csv format.","Фајл мора бити у .цсв формату."
"This customer couldn't be found. Verify the customer and try again.","Овај корисник није пронађен. Верификујте корисника и пробајте поново."
"This store couldn't be found. Verify the store and try again.","Ова продавница није пронађена. Провери продавницу и покушај поново."
"An error occurred. For details, see the error log.","Дошло је до грешке. За детаље, проверите извештај грешака."
"The ordered item needs to be loaded. Load the item and try again.","Поручен артикал мора бити учитан. Учитај артикал и покушај поново."
"The quote item ID needs to be received. Set the ID and try again.","Наведени ИД артикла мора бити примљен. Постави ИД и покушај поново."
"The quote item needs to be loaded. Load the item and try again.","Наведени артикал мора бити учитан. Учитај артикал и покушај поново."
"The wish list item ID needs to be received. Set the ID and try again.","Артикал ИД са листе жеља мора бити учитан. Постави артикал ИД и покушај поново."
"The wish list item needs to be loaded. Load the item and try again.","Артикал са листе жеља мора бити учитан. Учитај артикал и покушај поново."
"The file is corrupt and can't be used.","Фајл је оштећен и не може се користити."
"Please correct the data sent.","Исправите послате податке."
"Entity type model '%1' is not found","Модел типа ентитет '%1' није пронађен"
"Entity type model must be an instance of \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType","Модел за тип ентитета мора бити инстанца \Магенто\ЦаталогИмпортЕxпорт\Модел\Еxпорт\Продуцт\Тyпе\АбстрацтТyпе"
"There are no product types available for export","Нема доступних типова производа за извоз"
"%1 class doesn't implement \Magento\AdvancedRule\Model\Condition\FilterTextGeneratorInterface","%1 класа не имплементира \Магенто\АдванцедРуле\Модел\Цондитион\ФилтерТеxтГенераторИнтерфаце"
"Sales Rule","Правило продаје"
"Index sales rule","Индекс правила продаје"
"Related Search Terms","Сродни термини за претрагу"
"Add New Search Term","Додај нови термин за претрагу"
button_label,"ознака дугмета"
"Missing search engine parameter.","Недостаје аргумент за претраживање."
"Successful! Test again?","Успешно! Желите поновно тестирање?"
"Connection failed! Test again?","Повезивање није успело! Желите да поновите тестирање?"
"Enable Search Recommendations","Омогући претрагу препорука"
"When you enable this option your site may slow down.","Када омогућите ову опцију, ваше локације може успорити."
"Search Recommendations Count","Претражи број препорука"
"Show Results Count for Each Recommendation","Прикажи резултате Број за сваку препоруку"
"Enable Search Suggestions","Омогући претрагу предлога"
"Search Suggestions Count","Тражи број предлога"
"Show Results Count for Each Suggestion","Прикажи број резултата за сваки предлог"
"Related search terms","Сродни термини за претрагу"
"Did you mean","Да ли сте мислили"
"Search Query","Упит за претрагу"
Store,Продавница
Results,Резултати
Uses,Употребљено
"Redirect URL","Преусмјеравање УРЛ"
"Suggested Term","Предложени термин"
Yes,Да
Synonym,Синоним
"RPC call failed, connection timed out after %time_out.","РПЦ позив није успео, веза је истекла након %тиме_оут."
"Message has been rejected: %1","Порука је одбијена: %1"
"Error while checking if topic is synchronous","Грешка при проверави да ли је тема синхронизована"
"Subscription status","Статус претплате"
"Sorry, there has been an error processing your request. Please try again later.","Извините, догодила се грешка при обради вашег захтева. Покушајте поново касније."
"Time value has an unsupported format","Вредност за време садржи неподржани формат"
"Cron settings can't be saved","Подешавање Крон-а не може бити сачувано"
"There was an error save new configuration value.","Дошло је до грешке при снимању нових конфигурационих вредности."
"Please select a vertical.","Молимо изабрати усправно."
"--Please Select--","--- Молимо одаберите ---"
"Command was not found.","Команда није пронађена."
"Input data must be string or convertible into string.","Улазни податак мора бити знак или податак који се може претворити у знак."
"Input data must be non-empty string.","Улазни податак не сме бити празан низ знакова."
"Not valid cipher method.","Неисправна метода за шифрирања."
"Encryption key can't be empty.","Кључ за шифрирање не може бити празан."
"Source ""%1"" is not exist","Улазни податак ""%1"" не постоји"
"These arguments can't be empty ""%1""","Ови аргументи не могу бити празни ""%1"""
"Cannot find predefined integration user!","Није могуће пронаћи кориснички дефинисане интеграције!"
"File is not ready yet.","Датотека још увек није спремна."
"Your Base URL has been changed and your reports are being updated. Advanced Reporting will be available once this change has been processed. Please try again later.","Твој основни УРЛ је промењен и извјештаји се ажурирају. Више опција за извештавање биће на располагању када ова промена буде обрађена. Покушајте поново касније."
"Failed to synchronize data to the Magento Business Intelligence service. ","Грешка у синхронизацији података са Магенто пословним сервисом интелигенције."
"<a href=""%1"">Retry Synchronization</a>","<а хреф=""%1"">Покушај поново синхронизацију</а>"
TestMessage,"Тест порука"
"Apps and Games","Апликације и игре"
"Athletic/Sporting Goods","Спортски/спортске опреме"
"Art and Design","Уметност и дизајн"
"Advanced Reporting","Напредна подешавања"
"Gain new insights and take command of your business' performance, using our dynamic product, order, and customer reports tailored to your customer data.","Нов поглед на ствари и преузимање команде над перформансама вашег пословања, користећи динамичке производе, наруџбе и извештај о купцима прилагодене вашим потребама."
"Go to Advanced Reporting","Иди на напредне опције за извештавање"
Analytics,Аналитика
API,АПИ
Configuration,Конфигурација
"Business Intelligence","Пословна интелигенција"
"BI Essentials","БИ основе"
"This service provides a dynamic suite of reports with rich insights about your business.
                Your reports can be accessed securely on a personalized dashboard outside of the admin panel by clicking on the
                ""Go to Advanced Reporting"" link. </br> For more information, see our <a href=""https://magento.com/legal/terms/cloud-terms"">
                terms and conditions</a>.","Ова услуга пружа динамичан програмски пакет извештавања са богатим запажањем о вашем пословању.                 
                Извештају се може приступити сигурно преко персонализоване странице изван админ панел тако што ћете кликнути на везу 
                „Иди да више опција за извештавање”. </бр> За више информација, погледајте наше <а хреф=""хттпс://магенто.цом/легал/термс/цлоуд-термс""> термине и услове.</а>."
"Advanced Reporting Service","Напредна услуга извештавања"
"Time of day to send data","Доба дана за слање података"
Industry,Индустрија
"In order to personalize your Advanced Reporting experience, please select your industry.","Молим да подесите вашу грану индустрије у менију Напредна извештавања, како би сте добили боље извештаје."
"<strong>Get more insights from Magento Business Intelligence</strong>","<стронг>Добијте више сазнања из Магенто Бусинесс Интеллигенце</стронг>"
"Magento Business Intelligence provides you with a simple and clear path to
                    becoming more data driven.</br> Learn more about <a target=""_blank""
                    href=""https://dashboard.rjmetrics.com/v2/magento/signup/"">Magento BI Essentials and BI Pro</a> tiers.","Магенто Бусинесс Интеллигенце вам пружа једноставан и јасан пут како да
                добијете више података за управљање.</бр> Сазнајте више о <а таргет=""_бланк""
                хреф=""хттпс://дасхбоард.рјметрицс.цом/в2/магенто/сигнуп/"">БИ Основни и БИ Про</а> слој."
"Auto Parts","Ауто делови"
"Baby/Children’s Apparel, Gear and Toys","Одеце беба/за децу, опрему и играчке"
"Beauty and Cosmetics","Лепота и козметика"
"Books, Music and Magazines","Књиге, музика и часописи"
"Crafts and Stationery","Занати и подлоге за писање"
"Consumer Electronics","Потрошачке електронике"
"Deal Site","Локација за договор"
"Fashion Apparel and Accessories","Модни детаљи, одећа и прибор"
"Food, Beverage and Grocery","Хране, пића и намирнице"
"Home Goods and Furniture","Опрема за кућу и намештај"
"Home Improvement","Реновирање стана"
"Jewelry and Watches","Накит и сатови"
"Mass Merchant",Велепродаја
"Office Supplies","Канцеларијски намештај"
"Outdoor and Camping Gear","Опрема за камповање на отвореном простору"
"Pet Goods","Опрема за љубимце"
"Pharma and Medical Devices","Фармација и медицински уређаји"
"Technology B2B","Б2Б технологије"
Other,Остало
"The time value is using an unsupported format. Enter a supported format and try again.","Вредност времена користи неподржан формат. Унесите подржани формат и покушајте поново."
"Please select an industry.","Одаберите државу."
"The data is invalid. Enter the data as a string or data that can be converted into a string and try again.","Подаци су неважећи. Унесите податке као стринг или податак који се може превести у стринг и покушајте поново."
"The data is invalid. Enter the data as a string and try again.","Подаци су неважећи. Унесите податке као стринг и покушајте поново."
"The data is invalid. Use a valid cipher method and try again.","Подаци су неважећи. Користите исправан метод шифрирања и покушајте поново."
"Enter the encryption key and try again.","Унесит кључ за енкрипцију и покушајте поново."
"The ""%1"" source doesn't exist.","""%1"" извор не постоји."
"Retry Synchronization","Покушај поново Синхронизацију"
Done,Готово
Retry,"Покушај поново"
"'Action Details - #' .","'Погледај детаље - #' ."
"%1 item(s) have been scheduled for update.""","%1 ставка(е) су планиране за ажурирање”"
"Bulk Actions Log","Евиденција масовних радњи"
"Bulk uuid %bulkUuid not exist","Групни ууид %булкУуид не постоји"
"Topic %1","Тема %1"
"Something went wrong while processing the request.","Дошло је до грешке приликом обраде захтева."
"Error processing %key element of input data","Грешка у обради елемента %кеy у улазним подацима"
"Sorry, something went wrong during product prices update. Please see log for details.","Дошло је до грешке приликом ажурирања цена производа. Молимо погледајте лог за детаље."
"%1 item(s) are currently being updated.","%1 ставка(и) се тренутно ажурира."
"Task ""%1"": ","Задатак „%1”: "
"%1 item(s) have been scheduled for update.","%1 ставка(е) су планиране за ажурирање”."
"%1 item(s) have been successfully updated.","%1 ставка(е) су планиране за ажурирање”."
"%1 item(s) failed to update","%1 ставка(и) се није успело ажурирати"
Details,Детаљи
"View Details","Погледај детаље"
Dismiss,Одбаци
"Pending, in queue...","Необрађено, у реду чекања..."
"%1 items selected for mass update","%1 ставки је одабрано за масовно ажурирање"
", %1 successfully updated",", %1 је успешно ажурирано"
", %1 failed to update",", %1 се није успело ажурирати"
"Something went wrong.","Нешто кренуло наопако."
"Action Log","Дневник радњи"
Report,Извештај
"Bulk Actions","Масовне радње"
"Action Logs","Дневник радњи"
"Days Saved in Log","Дани сачувани у дневнику"
"Description of Operation","Опис операције"
Summary,Резиме
"Start Time","Време почетка"
"Items to Retry","Ставке за поновни покушај"
"To retry, select the items and click “Retry”.","Да бисте поново покушали, изаберите ставке и кликните на дугме „Покушај поново”."
"Items That Can’t Be Updated.","Ставке које није могуће ажурирати."
Status,Статус
"Meta Information","Мета информације"
Error,Грешка
"Dismiss All Completed Tasks","Одбаци све довршене задатке"
"Action Details - #","Детаљи радње- #"
"Number of Records Affected","Број записа који је утицао на"
"We can't find the role for the user you wanted.","Не можемо пронаћи улогу за траженог корисника."
"Something went wrong while compiling a list of allowed resources. You can find out more in the exceptions log.","Нешто је кренуло наопако за време састављања листе дозвољених ресурса. Више о грешкама можете погледати у евиденцији грешки."
"The role wasn't found for the user. Verify the role and try again.","Улога за корисника није пронађена. Проверите улогу и покушајте поново."
"You created the order.","Ви сте креирали наруџбину."
"Order saving error: %1","Редослед чувања грешке: %1"
"Please choose a payment method.","Одаберите начин плаћања."
"We can't process your order right now. Please try again later.","Не можемо обрадити вашу поруџбину сада. Покушајте касније."
"An error occurred on the server. Please try to place the order again.","Дошло је до грешке на серверу. Покушајте да поново пошаљете поруџбину."
"Credit Card: xxxx-%1","Кредитна картица: xxxx-%1"
"amount %1","износ %1"
failed.,"није успело."
successful.,успешно.
"Authorize.Net Transaction ID %1.","Аутхоризе.Нет трансакција ИД %1."
authorize,овлашћен
"authorize and capture","овлашћен и прихваћен"
capture,прихвати
refund,"повраћај новца"
void,поништи
"Gateway error: %1","Грешка у пролазу: %1"
"Something went wrong in the payment gateway.","Дошло је до грешке при проласку плаћања."
"Invalid amount for capture.","Неисправна вредност за прихваћање."
"Payment capturing error.","Грешка при прихватању плаћања."
"Invalid transaction ID.","Неисправан ИД трансакције."
"Payment voiding error.","Грешка код поништавања плаћања."
"Invalid amount for refund.","Неисправна вредност за повраћај новца."
"Payment refunding error.","Грешка код повраћаја новца."
"The transaction was declined because the response hash validation failed.","Трансакција је одбијена јер није прошла проверу података."
"This payment didn't work out because we can't find this order.","Ово плаћање није успело јер не можемо пронаћи поруџбину."
"There was a payment authorization error.","Дошло је до грешке при ауторизацији плаћања."
"Please enter a transaction ID to authorize this payment.","Молим унети ИД трансакције за ауторизацију овог плаћања."
"Something went wrong: the paid amount doesn't match the order amount. Please correct this and try again.","Дошло је до грешке: плаћени износ не одговара износу поруџбине. Исправите ово и покуушајте поново."
"Transaction %1 has been approved. Amount %2. Transaction status is ""%3""","Трансакција %1 је одобрена. Вредност %2. Статус трансакције је ""%3"""
"Transaction %1 has been voided/declined. Transaction status is ""%2"". Amount %3.","Трансакција %1 је одбијена/поништена. Статус трансакције је ""%2"". Вредност је %3."
"Authorize Only","Само одобрити"
"Authorize and Capture","Одобрити и прихватити"
"Unable to get transaction details. Try again later.","Није могуће добити детаље о трансакцији. Покуштајте поново касније."
"Electronic payments save the trees.","Електронско плаћање ћува дрвеће."
"Credit Card Type","Врста кредитне картице"
"Please Select","Молим одаберите"
"Credit Card Number","Број кредитне картице"
"Expiration Date","Датум истека"
"Card Verification Number","Верификациони број картице"
"Fraud Detection ","Уочена превара"
"FDS Filter Action","ФДС Филтер акције"
"AVS Response","АВС одговор"
"Card Code Response","Одговор на код картице"
"CAVV Response","ЦАВВ одговор"
"Fraud Filters","Филтери преваре"
"Place Order","Поставите поруџбину"
"Sorry, but something went wrong. Please contact the seller.","Жао нам је, али нешто је кренуло погрешно. Молим контактирати продавца."
"Authorize.net Direct Post","Аутхоризе.нет Директна пошта"
Enabled,Омогућено
"Payment Action","Акција плаћања"
Title,Наслов
"API Login ID","АПИ ИД за пријаву"
"Transaction Key","Кључ трансакције"
"Merchant MD5","МД5 продавца"
"New Order Status","Нови статус поруџбине"
"Test Mode","Режим теста"
"Gateway URL","УРЛ адреса мрежног пролаза"
"Transaction Details URL","Детаљи трансакције УРЛ адресе"
"Accepted Currency","Прихваћене валуте"
Debug,"Отклањање грешака"
"Email Customer","Е-поште купца"
"Merchant's Email","Е-маил трговца"
"Credit Card Types","Врста кредитне картице"
"Credit Card Verification","Верификација кредитне картице"
"Payment from Applicable Countries","Плаћања из приваћених земаља"
"Payment from Specific Countries","Плаћања из одређених земаља"
"Minimum Order Total","Минимална вредност поруџбине"
"Maximum Order Total","Максимална вредност поруџбине"
"Sort Order","Редослед поруџбина"
"Cannot place order.","Није могуће поставити поруџбину."
"'Gateway error: ' .","Гатеwаy грешка: ' ."
"Unable to place order. Please try again later.","Није могуће поставити наруџбину. Покушајте поново касније."
"A server error stopped your order from being placed. Please try to place your order again.","Грешка на серверу је зауставила поруџбину. Покушајте да поставите ваше понуде поново."
"The transaction details are unavailable. Please try again later.","Детаљи трансакције нису доступни. Покушајте касније."
"Authorize.Net Direct Post (Deprecated)","Аутхоризе.Нет Директан Пост (Депрецатед)"
"Signature Key","Кључ Потписа"
"There was an error while trying to process the request.","Дошло је до грешке током покушаја да се процесуира захтев."
"This transaction cannot be refunded with its current status.","Ова трансакција неможе мити повраћена са тренутним статусом."
"The authenticity of the gateway response could not be verified.","Аутентичност пролаза не моће бити верификована."
Authorize.Net,Аутхоризе.Нет
"Basic Authorize.Net Settings","Основна Аутхоризе.Нет подешавања"
Environment,Окружење
"Public Client Key","Јавни Кључ Клијента"
"Merchant MD5 (deprecated)","Мерцхант МД5 (депрецатед)"
"Advanced Authorize.Net Settings","Напредна Аутхоризе.Нет Подешавања"
"Enable Credit Card Verification Field","Укључи Поље за Верификацију Кредитном Картицом"
"Invalid request to gateway.","Неважећи захтев до гатеwаy-ја."
